"
Street Name",Str Type,Region,Str Dir,Post Dir,Address Low Number,Address High Number,Odd Even,"
Zip","
Precinct","Town 
Precinct","
Cong","
Sen","
Hse"
ALGRETUS,DR,A,,,14603,14725,B,20120,903,,10,34,67
BARRYMORE,RD,A,,,5620,5809,B,20120,921,,10,34,40
BATAVIA,DR,A,,,14605,14713,B,20120,903,,10,34,67
BATTERY RIDGE,CT,A,,,14501,14535,B,20120,910,,11,37,37
BATTERY RIDGE,LN,A,,,14500,14647,B,20120,910,,11,37,37
BAUGHER,DR,A,,,14600,14704,B,20120,903,,10,34,67
MEHERRIN,CT,E,,,15400,15438,B,20120,923,,10,37,40
Meherrin,Dr,E,,,15450,15629,B,20120,923,,10,37,40
OAKENGATE,WAY,E,,,6100,6118,B,20120,915,,10,37,40
OAKMERE,PL,E,,,15328,15348,B,20120,915,,10,37,40
PATRICK,CT,E,,,6600,6608,B,20120,923,,10,37,40
PEBBLEBROOK,DR,E,,,15567,15575,B,20120,915,,10,37,40
PEBBLEBROOK,TRCE,E,,,6300,6307,B,20120,915,,10,37,40
PELHAMS,TRCE,E,,,6600,6635,B,20120,923,,10,37,40
POINT,CIR,E,,,6200,6216,B,20120,915,,10,37,40
POINT,CT,E,,,6217,6226,B,20120,915,,10,37,40
RIDGE HAVEN,CT,E,,,6100,6112,B,20120,915,,10,37,40
RIDGEMONT,DR,E,,,6140,6159,B,20120,915,,10,37,40
RIDINGS MANOR,PL,E,,,5800,5825,B,20120,915,,10,37,40
RIVERLAND,RUN,E,,,6201,6215,B,20120,915,,10,37,40
ROCKBRIDGE,PL,E,,,6300,6305,B,20120,915,,10,37,40
SADDLE DOWNS,PL,E,,,5830,5862,B,20120,915,,10,37,40
SECRET HOLLOW,LN,E,,,6193,6230,B,20120,915,,10,37,40
SMITHAVEN,PL,E,,,15424,15442,B,20120,915,,10,37,40
SMITHFIELD,CT,E,,,6845,6852,B,20120,915,,10,37,40
SMITHFIELD,PL,E,,,15550,15579,B,20120,915,,10,37,40
SMITHS,TRCE,E,,,6600,6620,B,20120,923,,10,37,40
SNOWHILL,CT,E,,,6178,6189,B,20120,915,,10,37,40
SNOWHILL,LN,E,,,15400,15440,B,20120,915,,10,37,40
STILLFIELD,CT,E,,,15340,15350,B,20120,915,,10,37,40
STILLFIELD,PL,E,,,15043,15202,B,20120,915,,10,37,40
STRATTON MAJOR,CT,E,,,15150,15173,B,20120,915,,10,37,40
SURREY HOUSE,WAY,E,,,15235,15325,B,20120,915,,10,37,40
TRILLIUM HOUSE,LN,E,,,6464,6527,B,20120,923,,10,37,40
TWIN CREEKS,CT,E,,,15380,15397,B,20120,923,,10,37,40
VINE COTTAGE,DR,E,,,15500,15522,B,20120,923,,10,37,40
WATERS CREEK,DR,E,,,15456,15491,B,20120,915,,10,37,40
WELTON,CT,E,,,15250,15257,B,20120,915,,10,37,40
WELTON,DR,E,,,6250,6272,B,20120,915,,10,37,40
